import time: self [us] | cumulative | imported package
import time:       768 |       4414 |                 zoneinfo
import time:       319 |        319 |                 pydantic.annotated_handlers
import time:      2962 |       2962 |                 pydantic.functional_validators
import time:       539 |        539 |                   pydantic._internal._core_metadata
import time:       350 |        350 |                   pydantic._internal._schema_generation_shared
import time:      1984 |       2873 |                 pydantic.json_schema
import time:       428 |        428 |                 pydantic._internal._discriminated_union
import time:       377 |        377 |                 pydantic._internal._known_annotated_metadata
import time:      1233 |       1233 |                 pydantic._internal._schema_gather
import time:      1400 |      21822 |               pydantic._internal._generate_schema
import time:       392 |        392 |               pydantic._internal._signature
import time:       768 |      22981 |             pydantic._internal._model_construction
import time:       737 |        737 |               http
import time:       326 |       1062 |             starlette.exceptions
import time:      5810 |       5810 |               annotated_types
import time:       603 |        603 |               pydantic._internal._validators
import time:      5168 |       5168 |               pydantic.types
import time:      1799 |      13378 |             pydantic.fields
import time:       280 |        280 |                     importlib._abc
import time:       334 |        614 |                   importlib.util
import time:        74 |         74 |                     zlib
import time:       293 |        293 |                         compression
import time:       371 |        663 |                       compression._common
import time:       376 |        376 |                       compression._common._streams
import time:       702 |        702 |                       _bz2
import time:       409 |       2148 |                     bz2
import time:       961 |        961 |                       _lzma
import time:       693 |       1654 |                     lzma
import time:       589 |        589 |                       _zstd
import time:       472 |        472 |                       compression.zstd._zstdfile
import time:       795 |       1855 |                     compression.zstd
import time:       828 |       6558 |                   shutil
import time:       430 |        430 |                     zipfile._path.glob
import time:      1164 |       1593 |                   zipfile._path
import time:       960 |       9723 |                 zipfile
import time:       480 |        480 |                 importlib.metadata._meta
import time:       402 |        402 |                 importlib.metadata._collections
import time:       268 |        268 |                 importlib.metadata._functools
import time:       216 |        216 |                 importlib.metadata._itertools
import time:       979 |        979 |                 importlib.abc
import time:      1259 |      13325 |               importlib.metadata
import time:       431 |      13755 |             pydantic.plugin._loader
import time:      5811 |      89349 |           fastapi.exceptions
import time:       655 |        655 |             fastapi.openapi
import time:       270 |        270 |                 fastapi.types
import time:       374 |        374 |                   shlex
import time:       390 |        390 |                           anyio._core
import time:       745 |       1134 |                         anyio._core._contextmanagers
import time:      2144 |       2144 |                           anyio._core._exceptions
import time:       329 |        329 |                           sniffio
import time:       425 |       2896 |                         anyio._core._eventloop
import time:       601 |        601 |                                 signal
import time:      1563 |       1563 |                                   _socket
import time:      1144 |       2706 |                                 socket
import time:       760 |       4067 |                               anyio.abc._eventloop
import time:       439 |        439 |                               anyio.abc._resources
import time:       340 |        340 |                                 anyio._core._typedattr
import time:       348 |        348 |                                   anyio.abc._tasks
import time:       728 |       1076 |                                 anyio.abc._streams
import time:       726 |       2141 |                               anyio.abc._sockets
import time:       354 |        354 |                               anyio.abc._subprocesses
import time:       447 |        447 |                               anyio.abc._testing
import time:      1009 |       1009 |                                 anyio.lowlevel
import time:       538 |        538 |                                 anyio._core._tasks
import time:       345 |        345 |                                 anyio._core._testing
import time:      2669 |       4559 |                               anyio._core._synchronization
import time:       441 |        441 |                                   concurrent
import time:       383 |        383 |                                         codeop
import time:      4406 |       4406 |                                         _colorize
import time:       868 |       5656 |                                       traceback
import time:        57 |         57 |                                       atexit
import time:      1766 |       7478 |                                     logging
import time:       746 |       8223 |                                   concurrent.futures._base
import time:        54 |         54 |                                   _interpreters
import time:       510 |       9228 |                                 concurrent.futures
import time:      1172 |      10400 |                               anyio.from_thread
import time:       455 |      22858 |                             anyio.abc
import time:       351 |      23209 |                           anyio.to_thread
import time:      1218 |      24427 |                         anyio._core._fileio
import time:       397 |        397 |                         anyio._core._resources
import time:       267 |        267 |                         anyio._core._signals
import time:      2165 |       2165 |                             _ssl
import time:      1969 |       4134 |                           ssl
import time:       515 |        515 |                             anyio.streams
import time:      1382 |       1896 |                           anyio.streams.stapled
import time:      1127 |       1127 |                           anyio.streams.tls
import time:       962 |       8118 |                         anyio._core._sockets
import time:      1782 |       1782 |                           anyio.streams.memory
import time:       393 |       2174 |                         anyio._core._streams
import time:        52 |         52 |                               _locale
import time:       709 |        760 |                             locale
import time:       255 |        255 |                             fcntl
import time:        40 |         40 |                             msvcrt
import time:       718 |       1773 |                           subprocess
import time:       457 |       2230 |                         anyio._core._subprocesses
import time:        55 |         55 |                                 _bisect
import time:       319 |        374 |                               bisect
import time:        28 |         28 |                               _random
import time:       516 |        918 |                             random
import time:       537 |       1454 |                           tempfile
import time:       532 |       1986 |                         anyio._core._tempfile
import time:       614 |      44239 |                       anyio
import time:        19 |      44257 |                     anyio.to_thread
import time:       371 |      44628 |                   starlette.concurrency
import time:       325 |        325 |                   starlette.types
import time:       846 |      46172 |                 starlette.datastructures
import time:       498 |      46940 |               fastapi._compat.shared
import time:       237 |        237 |                 fastapi.openapi.constants
import time:      1396 |       1633 |               fastapi._compat.v2
import time:       341 |      48912 |             fastapi._compat
import time:       403 |        403 |             fastapi.logger
import time:       310 |        310 |             email_validator
import time:     61678 |     111956 |           fastapi.openapi.models
import time:      1785 |     204202 |         fastapi.params
import time:       497 |        497 |         fastapi.datastructures
import time:       303 |        303 |           fastapi.dependencies
import time:       204 |        204 |                 fastapi.security.base
import time:      1181 |       1181 |                   http.cookies
import time:       685 |        685 |                   starlette._utils
import time:       264 |        264 |                     python_multipart
import time:       214 |        214 |                     multipart
import time:       960 |       1437 |                   starlette.formparsers
import time:       263 |        263 |                     python_multipart
import time:        22 |        285 |                   python_multipart.multipart
import time:       195 |        195 |                     multipart
import time:        18 |        213 |                   multipart.multipart
import time:       568 |       4368 |                 starlette.requests
import time:       426 |       4997 |               fastapi.security.api_key
import time:       232 |        232 |                 fastapi.security.utils
import time:      1220 |       1451 |               fastapi.security.http
import time:       374 |        374 |                 fastapi.param_functions
import time:       478 |        852 |               fastapi.security.oauth2
import time:       307 |        307 |               fastapi.security.open_id_connect_url
import time:       322 |       7927 |             fastapi.security
import time:        28 |       7955 |           fastapi.security.base
import time:      1410 |       9667 |         fastapi.dependencies.models
import time:       240 |        240 |             starlette.background
import time:       260 |        500 |           fastapi.background
import time:       218 |        218 |           fastapi.concurrency
import time:       242 |        242 |           fastapi.utils
import time:       450 |        450 |             mimetypes
import time:        68 |         68 |                 _hmac
import time:       358 |        425 |               hmac
import time:       336 |        761 |             secrets
import time:       495 |       1704 |           starlette.responses
import time:       468 |        468 |           starlette.websockets
import time:      1294 |       4424 |         fastapi.dependencies.utils
import time:       275 |        275 |             colorsys
import time:       484 |        759 |           pydantic.color
import time:       383 |       1141 |         fastapi.encoders
import time:       786 |        786 |           starlette._exception_handler
import time:       472 |        472 |           starlette.convertors
import time:       406 |        406 |           starlette.middleware
import time:       797 |       2460 |         starlette.routing
import time:       888 |     249315 |       fastapi.routing
import time:       286 |        286 |         fastapi.websockets
import time:       324 |        610 |       fastapi.exception_handlers
import time:       315 |        315 |         fastapi.middleware
import time:       380 |        695 |       fastapi.middleware.asyncexitstack
import time:       243 |        243 |       fastapi.openapi.docs
import time:       645 |        645 |             email.feedparser
import time:       322 |        966 |           email.parser
import time:       847 |       1813 |         http.client
import time:       248 |        248 |           ujson
import time:       199 |        199 |           orjson
import time:       336 |        782 |         fastapi.responses
import time:       389 |       2983 |       fastapi.openapi.utils
import time:       499 |        499 |         starlette.middleware.base
import time:       993 |        993 |             html.entities
import time:       489 |       1481 |           html
import time:       299 |       1779 |         starlette.middleware.errors
import time:       357 |        357 |         starlette.middleware.exceptions
import time:       380 |       3014 |       starlette.applications
import time:      1089 |     267721 |     fastapi.applications
import time:       243 |        243 |     fastapi.requests
import time:       715 |     271667 |   fastapi
import time:       333 |        333 |       jinja2
import time:      7005 |       7338 |     starlette.templating
import time:      6631 |      13968 |   fastapi.templating
import time:       242 |        242 |   jinja2
import time:      6131 |     312428 | resync.app_factory
Traceback (most recent call last):
  File "<string>", line 1, in <module>
    from resync.app_factory import create_app; create_app()
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\Python\GITHUB\resync\6.0-new1\resync\app_factory.py", line 19, in <module>
    from jinja2 import Environment, FileSystemLoader, select_autoescape
ModuleNotFoundError: No module named 'jinja2'
